maker,product_name,url,form,moisture_pct,protein_asfed,protein_dm,fat_dm,phosphorus_asfed,phosphorus_dm,calorie_density_100g,calorie_basis,is_therapeutic,phosphorus_disclosed,fetched_at
いなばペットフード株式会社,ちゅるビ～ まぐろバラエティ 36袋入り,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9779,ウェット,69.5,24.0,78.7,13.8,,,,,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ ささみと焼ささみ,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9776,ウェット,69.5,24.0,78.7,13.8,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ ささみと焼かつお,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9775,ウェット,69.5,24.0,78.7,13.8,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ まぐろと焼ささみ,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9774,ウェット,69.5,24.0,78.7,13.8,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ まぐろと焼かつお,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9773,ウェット,69.5,24.0,78.7,13.8,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ プチちゅるビ～ ささみ,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9772,ウェット,71.0,20.0,69.0,12.1,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,ちゅるビ～ プチちゅるビ～ まぐろ,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%E3%82%8B%E3%83%93%E3%80%9C/9771,ウェット,71.0,20.0,69.0,12.1,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,焼ミックス ちゅ～る和え まぐろ味とかに味,https://www.inaba-petfood.co.jp/product/detail/%E7%84%BC%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9/8271,ウェット,73.0,18.0,66.7,25.9,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,焼ミックス ちゅ～る和え まぐろ味といか味,https://www.inaba-petfood.co.jp/product/detail/%E7%84%BC%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9/8270,ウェット,73.0,18.0,66.7,25.9,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,焼本かつお 高齢猫用 海鮮かつお節味 10本入り,https://www.inaba-petfood.co.jp/product/detail/%E7%84%BC%E6%9C%AC%E3%81%8B%E3%81%A4%E3%81%8A/10106,ウェット,70.0,26.5,88.3,5.0,,,,,False,no,2026-06-22
